condition,algorithm,seed,lambda,domain_id,train_count,test_accuracy,loss,empirical_weight,deployment_weight,source,alpha_eval,head_domain_id,tail_domain_id,is_head_domain,is_tail_domain
missing_tail,inftask,0,,0.2,1500,0.7866,0.5283935368061066,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,inftask,0,,0.5,500,0.6189,0.6639605760574341,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,inftask,0,,0.9,0,0.4607,0.8225190937519073,0.0,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,irm,3,,0.1,5000,0.7561,0.6237758696079254,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,irm,3,,0.2,2000,0.7261,0.7134762406349182,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,irm,3,,0.5,800,0.6313,1.011981040239334,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,irm,3,,0.9,200,0.5096,1.4000646471977234,0.025,0.25,main_eval,,0.1,0.9,0,1
missing_tail,groupdro,2,,0.1,6000,0.8395,0.47223953902721405,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,groupdro,2,,0.2,1500,0.7684,0.7392368614673615,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,groupdro,2,,0.5,500,0.5784,1.4685912728309631,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,groupdro,2,,0.9,0,0.3136,2.427755117416382,0.0,0.25,main_eval,,0.1,0.9,0,1
missing_tail,iro,2,,0.1,6000,0.8594,0.4954320788383484,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,iro,2,,0.2,1500,0.7807,0.5413300096988678,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,iro,2,,0.5,500,0.6183,0.6738263666629791,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,iro,2,,0.9,0,0.4408,0.8408361971378326,0.0,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,groupdro,4,,0.1,5000,0.8016,0.5052677094936371,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,groupdro,4,,0.2,2000,0.7558,0.6685132384300232,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,groupdro,4,,0.5,800,0.5998,1.211395800113678,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,groupdro,4,,0.9,200,0.4023,1.8851554989814758,0.025,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,groupdro,2,,0.1,2000,0.6894,0.9231697022914886,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,groupdro,2,,0.2,2000,0.6875,0.9284884035587311,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,groupdro,2,,0.5,2000,0.6521,1.049557089805603,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,groupdro,2,,0.9,2000,0.6157,1.1888548731803894,0.25,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,inftask,3,,0.1,5000,0.7111,0.6140218079090118,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,inftask,3,,0.2,2000,0.697,0.6215107440948486,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,inftask,3,,0.5,800,0.645,0.6458578109741211,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,inftask,3,,0.9,200,0.5891,0.7000817358493805,0.025,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,iro,1,,0.1,5000,0.7618,0.6549219191074371,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,iro,1,,0.2,2000,0.7287,0.6602883338928223,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,iro,1,,0.5,800,0.6389,0.6491050720214844,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,iro,1,,0.9,200,0.5329,0.6951436698436737,0.025,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,inftask,1,,0.1,5800,0.6244,0.6431193649768829,0.725,0.25,main_eval,,0.1,0.9,1,0
